domain,status,protocol,reason
stevensfamilyfarm.webs.com,unreachable,,HTTPS: Connection error: Cannot connect to host stevensfamilyfarm.webs.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host stevensfamilyfarm.webs.com:80 ssl:False [getaddrinfo failed]
divinemomentsdaycare.com,unreachable,,HTTPS: Connection error: Cannot connect to host divinemomentsdaycare.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host divinemomentsdaycare.com:80 ssl:False [getaddrinfo failed]
whaleygfx.com,unreachable,,HTTPS: Connection error: Cannot connect to host whaleygfx.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host whaleygfx.com:80 ssl:False [getaddrinfo failed]
fine-art-construction.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
oddwomannailsandmore.com,unreachable,,HTTPS: 403 Forbidden (Unknown) | HTTP: 403 Forbidden (Unknown)
northwest-georgia-regional-commission.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
hotlink2019.com,unreachable,,HTTPS: Connection error: Cannot connect to host hotlink2019.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host hotlink2019.com:80 ssl:False [getaddrinfo failed]
internationalmediasupply.com,unreachable,,HTTPS: Connection error: Cannot connect to host internationalmediasupply.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host internationalmediasupply.com:80 ssl:False [getaddrinfo failed]
ancientcityappraisals.com,unreachable,,HTTPS: Timeout | HTTP: Timeout
caring-hands-seniorsolutionsgroupinc.business.site,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
toptok.info,unreachable,,HTTPS: Connection error: Cannot connect to host toptok.info:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host toptok.info:80 ssl:False [getaddrinfo failed]
webranium.co.uk,unreachable,,HTTPS: Connection error: Cannot connect to host webranium.co.uk:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host webranium.co.uk:80 ssl:False [getaddrinfo failed]
fedorovfilms.com,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
masterguyscardetail.com,unreachable,,HTTPS: Connection error: Cannot connect to host masterguyscardetail.com:443 ssl:False [getaddrinfo failed] | HTTP: Connection error: Cannot connect to host masterguyscardetail.com:80 ssl:False [getaddrinfo failed]
coloradolivingblog.com,unreachable,,HTTPS: HTTP 404 | HTTP: HTTP 404
